Año;Trimestre;Provincia;ADSL;Cablemodem;Fibra óptica;Wireless;Otros;TConexiones;Nuevo_Acceso
2018;2;Jujuy;34;11;23;640;43;751;766,02
2018;2;La Pampa;12;54;8;7;987;1068;1089,36
2018;2;La Rioja;17;35;13;253;35;353;360,06
2018;2;Mendoza;153;37;3;6;2;201;205,02
2018;2;Misiones;57;48;512;391;56;1064;1085,28
2018;2;Neuquén;47;53;998;13;3;1114;1136,28
2018;2;Río Negro;69;33;1;4;5;112;114,24
2018;2;Salta;78;53;678;234;1;1044;1064,88
2018;2;San Juan;54;5;826;3;1;889;906,78
2018;2;San Luis;11;8;368;16;2;405;413,1
2018;2;Santa Cruz;19;4;585;7;4;619;631,38
2018;2;Santa Fe;338;304;11;16;15;684;697,68
2018;2;Santiago Del Estero;26;56;23;2;81;188;191,76
2018;2;Tierra Del Fuego;19;23;531;1;2;576;587,52
2018;2;Tucumán;160;9;110;252;315;846;862,92
2018;1;Buenos Aires;1;2;134;64;31;232;236,64
2018;1;Capital Federal;350;968;36;3;9;1366;1393,32
2018;1;Catamarca;27;4;15;1;2;49;49,98
2018;1;Chaco;55;40;383;388;1;867;884,34
2018;1;Chubut;56;20;1;14;7;98;99,96
2018;1;Córdoba;349;327;13;13;11;713;727,26
2018;1;Corrientes;57;35;888;1;33;1014;1034,28
2018;1;Entre Ríos;107;76;4;11;80;278;283,56
2018;1;Formosa;24;7;17;2;57;107;109,14
2018;1;Jujuy;34;10;23;28;43;138;140,76
2018;1;La Pampa;11;51;8;11;2;83;84,66
2018;1;La Rioja;17;35;13;253;35;353;360,06
2018;1;Mendoza;153;37;3;6;2;201;205,02
2018;1;Misiones;56;47;328;5;56;492;501,84
2018;1;Neuquén;47;55;1;12;3;118;120,36
2018;1;Río Negro;69;32;1;4;5;111;113,22
2018;1;Salta;80;52;118;204;1;455;464,1
2018;1;San Juan;54;5;826;2;1;888;905,76
2018;1;San Luis;11;8;368;16;2;405;413,1
2018;1;Santa Cruz;19;4;2;7;3;35;35,7
2018;1;Santa Fe;342;300;11;12;15;680;693,6
2018;1;Santiago Del Estero;27;55;23;1;81;187;190,74
2018;1;Tierra Del Fuego;19;10;531;1;2;563;574,26
2018;1;Tucumán;159;9;107;368;50;693;706,86
2017;4;Buenos Aires;1;2;131;60;31;225;229,5
2017;4;Capital Federal;571;962;36;3;10;1582;1613,64
2017;4;Catamarca;27;263;11;1;2;304;310,08
2017;4;Chaco;55;40;389;380;1;865;882,3
2017;4;Chubut;56;15;1;14;7;93;94,86
2017;4;Córdoba;350;325;13;12;11;711;725,22
2017;4;Corrientes;57;35;894;1;35;1022;1042,44
2017;4;Entre Ríos;108;74;2;10;86;280;285,6
2017;4;Formosa;23;7;19;2;51;102;104,04
2017;4;Jujuy;34;10;20;28;34;126;128,52
2017;4;La Pampa;11;50;8;11;2;82;83,64
2017;4;La Rioja;17;35;14;253;31;350;357
2017;4;Mendoza;153;16;3;6;2;180;183,6
2017;4;Misiones;56;47;95;5;54;257;262,14
