Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,TConexiones
2018,2,San Luis,11,8,368,16,2,405
2018,2,Santa Cruz,19,4,585,7,4,619
2018,2,Santa Fe,338,304,11,16,15,684
2018,2,Santiago Del Estero,26,56,23,2,81,188
2018,2,Tierra Del Fuego,19,23,531,1,2,576
2018,2,Tucumán,160,9,110,252,315,846
2018,1,Buenos Aires,1,2,134,64,31,232
2018,1,Capital Federal,350,968,36,3,9,1366
2018,1,Catamarca,27,4,15,1,2,49
2018,1,Chaco,55,40,383,388,1,867
2018,1,Chubut,56,20,1,14,7,98
2018,1,Córdoba,349,327,13,13,11,713
2018,1,Corrientes,57,35,888,1,33,1014
2018,1,Entre Ríos,107,76,4,11,80,278
2018,1,Formosa,24,7,17,2,57,107
2018,1,Jujuy,34,10,23,28,43,138
2018,1,La Pampa,11,51,8,11,2,83
2018,1,La Rioja,17,35,13,253,35,353
2018,1,Mendoza,153,37,3,6,2,201
2018,1,Misiones,56,47,328,5,56,492
2018,1,Neuquén,47,55,1,12,3,118
2018,1,Río Negro,69,32,1,4,5,111
2018,1,Salta,80,52,118,204,1,455
2018,1,San Juan,54,5,826,2,1,888
2018,1,San Luis,11,8,368,16,2,405
2018,1,Santa Cruz,19,4,2,7,3,35
2018,1,Santa Fe,342,300,11,12,15,680
2018,1,Santiago Del Estero,27,55,23,1,81,187
2018,1,Tierra Del Fuego,19,10,531,1,2,563
2018,1,Tucumán,159,9,107,368,50,693
2017,4,Buenos Aires,1,2,131,60,31,225
2017,4,Capital Federal,571,962,36,3,10,1582
2017,4,Catamarca,27,263,11,1,2,304
2017,4,Chaco,55,40,389,380,1,865
2017,4,Chubut,56,15,1,14,7,93
2017,4,Córdoba,350,325,13,12,11,711
2017,4,Corrientes,57,35,894,1,35,1022
2017,4,Entre Ríos,108,74,2,10,86,280
2017,4,Formosa,23,7,19,2,51,102
2017,4,Jujuy,34,10,20,28,34,126
2017,4,La Pampa,11,50,8,11,2,82
2017,4,La Rioja,17,35,14,253,31,350
2017,4,Mendoza,153,16,3,6,2,180
2017,4,Misiones,56,47,95,5,54,257
2017,4,Neuquén,47,54,1,12,3,117
2017,4,Río Negro,69,30,1,4,5,109
2017,4,Salta,81,50,127,158,1,417
2017,4,San Juan,54,451,812,2,1,1320
2017,4,San Luis,11,1,335,17,2,366
2017,4,Santa Cruz,19,2,582,5,4,612
2017,4,Santa Fe,342,294,11,11,15,673
2017,4,Santiago Del Estero,27,40,19,1,80,167
2017,4,Tierra Del Fuego,19,7,530,1,2,559
2017,4,Tucumán,157,5,105,102,319,688
2017,3,Buenos Aires,1,2,125,35,39,202
2017,3,Capital Federal,583,941,33,3,10,1570
2017,3,Catamarca,27,4,12,1,2,46
2017,3,Chaco,55,37,456,36,1,585
2017,3,Chubut,56,6,1,14,7,84
2017,3,Córdoba,345,319,11,7,15,697
2017,3,Corrientes,56,34,947,1,27,1065
2017,3,Entre Ríos,108,70,2,6,63,249
2017,3,Formosa,23,7,428,2,12,472
